Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2
Lacu Țiganului,țigan,3,44.2113222631166,25.6725231001878,Giurgiu,Lac,4227,Lacu Țiganului,PDT,Limba română
Dealu Țiganului,țigan,3,44.8979549905002,23.2751036252563,Gorj,Deal,3118,Dealu Țiganului,Geomil 25000,Limba română
Pârâul Țiganului,țigan,3,45.2240923773568,23.2577158105703,Gorj,Vale,12675,Pârâul Țiganului,Geomil 25000,Limba română
Piscul Țiganului,țigan,3,44.6341834463117,23.5844804111179,Gorj,Înălțime,8272,Piscul Țiganului,PDT,Limba română
Piscul Țiganului,țigan,3,44.871990249544,23.599324569948,Gorj,Înălțime,8403,Piscul Țiganului,PDT,Limba română
Valea Țiganu,țigan,3,44.9435274656726,23.2191078912102,Gorj,Vale,8058,Valea Țiganu,PDT,Limba română
Valea Țiganului,țigan,3,45.0803151270495,23.406603549441,Gorj,Vale,236,Valea Țiganului,Geomil 25000,Limba română
Valea Țiganului,țigan,3,45.141724203385,23.1735239433052,Gorj,Vale,2917,Valea Țiganului,Geomil 25000,Limba română
Czigány dombja (Dealul Țiganului),țigan,3,46.5285746406186,25.9263924192346,Harghita,Deal,10797,Czigány dombja (Dealul Țiganului),Imperiul Habsburgic (1887),Limba maghiară
Czigány patak (Valea Țiganului),țigan,3,46.9630737152973,25.8134172286396,Harghita,Vale,11721,Czigány patak (Valea Țiganului),Imperiul Habsburgic (1887),Limba maghiară
Czigány tető (Vârful Țiganului),țigan,3,46.6278586589356,25.9429318686951,Harghita,Înălțime,10942,Czigány tető (Vârful Țiganului),Imperiul Habsburgic (1887),Limba maghiară
Coasta Țiganului,țigan,3,46.289524484466,22.9280851545519,Hunedoara,Înălțime,5586,Coasta Țiganului,Geomil 25000,Limba română
Dealu Țiganului,țigan,3,45.7396432422555,22.5284689309425,Hunedoara,Deal,9016,Dealu Țiganului,Geomil 25000,Limba română,Dealul Țiganului,PDT,Limba română
Grunu Țiganului,țigan,3,45.7524300549958,22.8232827943943,Hunedoara,Altele,11235,Grunu Țiganului,Geomil 25000,Limba română
Pârâul Țiganului,țigan,3,45.4060820014478,23.5421334674227,Hunedoara,Vale,12974,Pârâul Țiganului,Geomil 25000,Limba română
Vârful Țiganului,țigan,3,45.6335877482728,22.7888838623018,Hunedoara,Înălțime,10802,Vârful Țiganului,Imperiul Habsburgic (1887),Limba română
La Movila Țiganului,țigan,3,44.5372969059055,27.7911911478669,Ialomita,Înălțime,3444,La Movila Țiganului,Geomil 25000,Limba română,Movila Țiganilor,PDT,Limba română
Movila Țiganului,țigan,3,44.7885269498776,26.6420448405256,Ialomita,Înălțime,3427,Movila Țiganului,Geomil 25000,Limba română
Cotul Țiganului,țigan,3,47.1001619488538,27.8399867670994,Iasi,Apă-deal-câmpie,9645,Cotul Țiganului,Moldova (1892-1898),Limba română,Gârla Țiganului,Geomil 25000,Limba română
Dealul Țiganului,țigan,3,47.0763157462335,27.7047159625591,Iasi,Deal,6594,Dealul Țiganului,PDT,Limba română
Dealul Țiganului,țigan,3,47.3784567919739,27.223981414201,Iasi,Deal,12385,Dealul Țiganului,Geomil 25000,Limba română
Iazul Țiganului,țigan,3,47.303611601666,27.0120155332179,Iasi,Apă-deal-câmpie,13935,Iazul Țiganului,Moldova (1892-1898),Limba română
La Părul Țiganului,țigan,3,47.2131518983015,27.3991426901437,Iasi,Altele,4835,La Părul Țiganului,PDT,Limba română
Scaunul Țiganului,țigan,3,47.0696489193665,27.2934013464886,Iasi,Altele,1644,Scaunul Țiganului,Geomil 25000,Limba română,Scaunul Țiganului,PDT,Limba română
Valea Țiganului,țigan,3,47.0684160994921,27.5983726861052,Iasi,Vale,8893,Valea Țiganului,Geomil 25000,Limba română
Dealul Țiganului,țigan,3,47.5097828169073,23.21257147551,Maramures,Deal,8217,Dealul Țiganului,PDT,Limba română,Dealul Țiganului,Geomil 25000,Limba română
Lazul Țiganului,țigan,3,47.7311629026708,24.1622136021677,Maramures,Altele,7180,Lazul Țiganului,PDT,Limba română
Piatra Țiganului,țigan,3,47.792988345603,24.0977791221872,Maramures,Înălțime,919,Piatra Țiganului,Geomil 25000,Limba română
Podul Țiganului,țigan,3,47.7287003572514,24.3937784281863,Maramures,Altele,7184,Podul Țiganului,PDT,Limba română
Vârful Țiganului,țigan,3,47.8746141645784,23.7802195225562,Maramures,Înălțime,914,Vârful Țiganului,Geomil 25000,Limba română,Vf. Czigan,Ungară 1869,Limba română
Vârful Țiganului,țigan,3,47.7513517312817,24.7024406027784,Maramures,Înălțime,8264,Vârful Țiganului,PDT,Limba română,Vârful Țiganului,Geomil 25000,Limba română
Cracul Țiganului,țigan,3,44.6845304977014,22.6491801607921,Mehedinti,Înălțime,4022,Cracul Țiganului,PDT,Limba română
Dealul Țiganului,țigan,3,44.6579050811076,23.0446426422944,Mehedinti,Deal,11485,Dealul Țiganului,ANCPI,Limba română
Fântâna Țiganului,țigan,3,44.2992077254736,22.8411132095602,Mehedinti,Altele,3656,Fântâna Țiganului,PDT,Limba română
Fântâna Țiganului,țigan,3,44.3047155223956,22.8180834455636,Mehedinti,Altele,3657,Fântâna Țiganului,PDT,Limba română,Fântâna Țiganului,Geomil 25000,Limba română
La Crucea Țiganului,țigan,3,44.5086690126913,22.7787798329999,Mehedinti,Altele,8080,La Crucea Țiganului,PDT,Limba română
Piscul Țiganului,țigan,3,44.8803136990838,22.8687439252408,Mehedinti,Înălțime,3685,Piscul Țiganului,PDT,Limba română
Poiana Țiganului,țigan,3,44.5846601961455,23.0714368952077,Mehedinti,Poiană,3668,Poiana Țiganului,PDT,Limba română
Știubeiul Țiganului,țigan,3,44.3890496433642,23.178956457817,Mehedinti,Altele,134,Știubeiul Țiganului,Geomil 25000,Limba română
Valea Țiganului,țigan,3,44.5806671434063,23.2816520001731,Mehedinti,Vale,98,Valea Țiganului,Geomil 25000,Limba română
Valea Țiganului,țigan,3,44.5715223736059,22.8774654478791,Mehedinti,Vale,174,Valea Țiganului,Geomil 25000,Limba română,Valea Țiganului,PDT,Limba română
Valea Țiganului,țigan,3,44.7817900534677,22.9657940765236,Mehedinti,Vale,422,Valea Țiganului,Geomil 25000,Limba română
Valea Țiganului,țigan,3,44.7617773327438,22.8408048660511,Mehedinti,Vale,4024,Valea Țiganului,Geomil 25000,Limba română
Fântâna Țiganului,țigan,3,47.0281722390959,26.8820913131208,Neamt,Altele,9552,Fântâna Țiganului,Moldova (1892-1898),Limba română
Padina Țiganului,țigan,3,47.0424725795574,25.9487082366228,Neamt,Înălțime,9109,Padina Țiganului,PDT,Limba română
Pârâul Țiganului,țigan,3,47.1096474629364,26.2583732162431,Neamt,,3859,Pârâul Țiganului,PDT,Limba română
Pârâul Țiganului,țigan,3,47.1264398925824,25.9825269160468,Neamt,Vale,6463,Pârâul Țiganului,PDT,Limba română,Țiganul,Geomil 25000,Limba română
Poarta Țiganului,țigan,3,47.0381788709602,26.5436843798614,Neamt,Altele,9132,Poarta Țiganului,PDT,Limba română,Poarta Țiganului,Geomil 25000,Limba română
Poiana Țiganului,țigan,3,46.9915617103646,27.1189631413978,Neamt,Poiană,1637,Poiana Țiganului,Geomil 25000,Limba română
Preluca la Piatra Țiganului,țigan,3,47.1041765480181,25.733955391917,Neamt,Înălțime,6444,Preluca la Piatra Țiganului,PDT,Limba română
Țarina Țiganului,țigan,3,46.9411533841195,26.689709366445,Neamt,Altele,2047,Țarina Țiganului,Geomil 25000,Limba română
La Siaka de Tzigan,țigan,3,44.161927017745,24.7593317985259,Olt,Localitate,12439,La Siaka de Tzigan,Austriacă,Limba română
Poiana Țiganului,țigan,3,44.5735600071751,24.5550806891021,Olt,Poiană,12693,Poiana Țiganului,PDT,Limba română
Valea lui Pârvu Țiganu,țigan,3,44.3744809502143,24.6191097587468,Olt,Vale,3044,Valea lui Pârvu Țiganu,Geomil 25000,Limba română
Valea Țiganului,țigan,3,44.4856614587248,24.1046556624108,Olt,Vale,290,Valea Țiganului,Geomil 25000,Limba română
Valea Țiganului,țigan,3,44.6831842092503,24.3457144397224,Olt,Vale,3059,Valea Țiganului,Geomil 25000,Limba română
Dealul Lazu Țiganului,țigan,3,45.2963316860424,26.0439238949651,Prahova,Deal,2820,Dealul Lazu Țiganului,Geomil 25000,Limba română
La Bordiul Țiganului,țigan,3,45.0530433058798,26.0756225939258,Prahova,Altele,3979,La Bordiul Țiganului,PDT,Limba română
Movila Țiganului,țigan,3,45.018355925037,25.8499433264214,Prahova,Înălțime,10085,Movila Țiganului,PDT,Limba română
Muchea Gurguiu Țiganului,țigan,3,45.0942750836303,26.3355251098276,Prahova,Înălțime,3997,Muchea Gurguiu Țiganului,PDT,Limba română
Vârful Țiganului,țigan,3,45.3577804505937,26.085560257138,Prahova,Înălțime,2821,Vârful Țiganului,Geomil 25000,Limba română
Dealul Țiganului,țigan,3,47.0241496637783,23.0631467966228,Salaj,Deal,7531,Dealul Țiganului,PDT,Limba română,Dealul Țiganului,Geomil 25000,Limba română
Dâmbu Țiganului,țigan,3,47.4004133908846,23.0152538437964,Satu Mare,Înălțime,12145,Dâmbu Țiganului,Geomil 25000,Limba română
Dealu Țiganului,țigan,3,47.6274924325855,23.3038371085686,Satu Mare,Deal,4427,Dealu Țiganului,Geomil 25000,Limba română,Dealul Țiganului,PDT,Limba română
